horizon_hours,track,target,rank,model,ablated_feature,feature_group,delta_mae,delta_wape_pct
6,nationality,tim_Ni_mean15,3,ridge,tim_F1_max15_roll24h_mean,tim,12.3365,0.2599
6,nationality,tim_Ni_mean15,4,ridge,tim_Tc_mean15_lag1h,tim,11.656,0.2455
6,nationality,tim_Ni_mean15,5,ridge,tim_Gf_mean15_roll24h_mean,tim,6.8138,0.1435
6,nationality,tim_Ns_mean15,1,extra_trees,tim_Tc_mean15_lag1h,tim,0.586,0.4915
6,nationality,tim_Ns_mean15,2,extra_trees,tim_Ns_max15_roll24h_mean,target_history,0.4886,0.4098
6,nationality,tim_Ns_mean15,3,extra_trees,tim_Ns_mean15_lag1h,target_history,0.4069,0.3412
6,nationality,tim_Ns_mean15,4,extra_trees,event_intensity_max_roll24h_mean,events,0.3166,0.2656
6,nationality,tim_Ns_mean15,5,extra_trees,tim_Tb_max15_roll24h_mean,tim,0.3122,0.2619
6,age,tim_F1_mean15,1,random_forest,tim_F1_max15_roll24h_mean,target_history,0.3099,0.4497
6,age,tim_F1_mean15,2,random_forest,tim_F6_mean15_lag24h,target_history,0.1092,0.1585
6,age,tim_F1_mean15,3,random_forest,event_scale_max_roll24h_mean,events,0.0908,0.1318
6,age,tim_F1_mean15,4,random_forest,tim_Gf_max15_lag2h,tim,0.0837,0.1214
6,age,tim_F1_mean15,5,random_forest,event_intensity_max_roll24h_mean,events,0.0675,0.098
6,age,tim_F2_mean15,1,ridge,tim_Tb_max15_roll24h_mean,tim,1.973,0.5397
6,age,tim_F2_mean15,2,ridge,tim_F1_max15_roll24h_mean,target_history,1.6731,0.4577
6,age,tim_F2_mean15,3,ridge,tim_F6_max15_lag1h,target_history,1.489,0.4073
6,age,tim_F2_mean15,4,ridge,event_sport_motor_active_lag24h,events,0.9016,0.2466
6,age,tim_F2_mean15,5,ridge,tim_F6_mean15_lag24h,target_history,0.7467,0.2042
6,age,tim_F3_mean15,1,ridge,tim_Tb_max15_roll24h_mean,tim,4.3068,0.9634
6,age,tim_F3_mean15,2,ridge,tim_F1_max15_roll24h_mean,target_history,1.6605,0.3714
6,age,tim_F3_mean15,3,ridge,tim_F6_max15_lag1h,target_history,1.5401,0.3445
6,age,tim_F3_mean15,4,ridge,meteo_erg5_tavg_min_roll24h_mean,meteo,0.8753,0.1958
6,age,tim_F3_mean15,5,ridge,tim_Gf_max15_lag2h,tim,0.7533,0.1685
6,age,tim_F4_mean15,1,log1p_ridge,tim_F1_max15_roll24h_mean,target_history,4.053,0.6113
6,age,tim_F4_mean15,2,log1p_ridge,tim_F6_max15_lag1h,target_history,3.7323,0.5629
6,age,tim_F4_mean15,3,log1p_ridge,tim_F6_mean15_lag24h,target_history,2.1613,0.326
6,age,tim_F4_mean15,4,log1p_ridge,tim_F6_sum15_roll24h_mean,target_history,0.7468,0.1126
6,age,tim_F4_mean15,5,log1p_ridge,tim_Gm_max15_lag24h,tim,0.5146,0.0776
6,age,tim_F5_mean15,1,random_forest,tim_F6_mean15_lag24h,target_history,4.7996,0.5471
6,age,tim_F5_mean15,2,random_forest,tim_F6_max15_lag1h,target_history,4.0428,0.4608
6,age,tim_F5_mean15,3,random_forest,tim_F6_sum15_roll24h_mean,target_history,3.6378,0.4147
6,age,tim_F5_mean15,4,random_forest,tim_Gm_max15_lag24h,tim,2.0938,0.2387
6,age,tim_F5_mean15,5,random_forest,event_intensity_max_roll24h_mean,events,1.1727,0.1337
6,age,tim_F6_mean15,1,poisson,tim_F6_sum15_roll24h_mean,target_history,49.1429,3.2045
6,age,tim_F6_mean15,2,poisson,tim_F6_max15_lag1h,target_history,4.4194,0.2882
6,age,tim_F6_mean15,3,poisson,tim_Gm_max15_lag24h,tim,1.6112,0.1051
6,age,tim_F6_mean15,4,poisson,tim_F6_mean15_lag24h,target_history,1.0222,0.0667
6,age,tim_F6_mean15,5,poisson,event_sport_motor_intensity_lag1h,events,0.4632,0.0302
12,flow,ingressi_borgo,1,extra_trees,tim_Vi_mean15_lag24h,tim,0.54,1.0857
12,flow,ingressi_borgo,2,extra_trees,tim_Vi_max15_roll3h_mean,tim,0.509,1.0235
12,flow,ingressi_borgo,3,extra_trees,hour_sin,calendar,0.355,0.7137
12,flow,ingressi_borgo,4,extra_trees,hour_cos,calendar,0.1031,0.2074
12,flow,ingressi_borgo,5,extra_trees,meteo_erg5_rad_std_roll6h_mean,meteo,0.0873,0.1755
12,flow,uscite_borgo,1,extra_trees,tim_Vi_mean15_lag24h,tim,0.953,1.78
12,flow,uscite_borgo,2,extra_trees,meteo_erg5_rhavg_max_roll3h_mean,meteo,0.2355,0.4398
12,flow,uscite_borgo,3,extra_trees,hour_sin,calendar,0.1208,0.2256
12,flow,uscite_borgo,4,extra_trees,meteo_erg5_rad_std_lag2h,meteo,0.0233,0.0436
12,flow,uscite_borgo,5,extra_trees,meteo_erg5_et0_max_lag1h,meteo,-0.0217,-0.0406
12,nationality,tim_Ni_mean15,1,poisson,tim_Gf_mean15_roll24h_mean,tim,238.0251,5.0103
12,nationality,tim_Ni_mean15,2,poisson,tim_Gf_max15_lag2h,tim,9.785,0.206
12,nationality,tim_Ni_mean15,3,poisson,event_sport_motor_intensity,events,2.8666,0.0603
